Stn Code,Sampling Date,State,City,Location of Monitoring Station,Agency,Type of Location,SO2,NO2,RSPM/PM10,PM 2.5
68,01-10-15,Odisha,Talcher,"T.T.P.S.Colony, Talcher",Odisha State Pollution Control Board,Industrial Area,10,25,70,57
68,06-10-15,Odisha,Talcher,"T.T.P.S.Colony, Talcher",Odisha State Pollution Control Board,Industrial Area,9,24,90,78
68,09-10-15,Odisha,Talcher,"T.T.P.S.Colony, Talcher",Odisha State Pollution Control Board,Industrial Area,10,25,112,92
68,13-10-15,Odisha,Talcher,"T.T.P.S.Colony, Talcher",Odisha State Pollution Control Board,Industrial Area,10,25,95,73
68,16-10-15,Odisha,Talcher,"T.T.P.S.Colony, Talcher",Odisha State Pollution Control Board,Industrial Area,10,27,103,87
68,20-10-15,Odisha,Talcher,"T.T.P.S.Colony, Talcher",Odisha State Pollution Control Board,Industrial Area,12,25,95,69
68,23-10-15,Odisha,Talcher,"T.T.P.S.Colony, Talcher",Odisha State Pollution Control Board,Industrial Area,11,26,90,65
68,27-10-15,Odisha,Talcher,"T.T.P.S.Colony, Talcher",Odisha State Pollution Control Board,Industrial Area,10,22,99,74
68,30-10-15,Odisha,Talcher,"T.T.P.S.Colony, Talcher",Odisha State Pollution Control Board,Industrial Area,11,26,106,86
68,03-11-15,Odisha,Talcher,"T.T.P.S.Colony, Talcher",Odisha State Pollution Control Board,Industrial Area,11,25,101,68
68,06-11-15,Odisha,Talcher,"T.T.P.S.Colony, Talcher",Odisha State Pollution Control Board,Industrial Area,11,25,99,56
68,10-11-15,Odisha,Talcher,"T.T.P.S.Colony, Talcher",Odisha State Pollution Control Board,Industrial Area,10,25,151,81
68,13-11-15,Odisha,Talcher,"T.T.P.S.Colony, Talcher",Odisha State Pollution Control Board,Industrial Area,10,25,153,79
68,17-11-15,Odisha,Talcher,"T.T.P.S.Colony, Talcher",Odisha State Pollution Control Board,Industrial Area,10,25,97,49
68,20-11-15,Odisha,Talcher,"T.T.P.S.Colony, Talcher",Odisha State Pollution Control Board,Industrial Area,11,26,136,72
68,24-11-15,Odisha,Talcher,"T.T.P.S.Colony, Talcher",Odisha State Pollution Control Board,Industrial Area,10,25,132,70
68,27-11-15,Odisha,Talcher,"T.T.P.S.Colony, Talcher",Odisha State Pollution Control Board,Industrial Area,10,26,145,76
68,01-12-15,Odisha,Talcher,"T.T.P.S.Colony, Talcher",Odisha State Pollution Control Board,Industrial Area,12,25,106,61
68,04-12-15,Odisha,Talcher,"T.T.P.S.Colony, Talcher",Odisha State Pollution Control Board,Industrial Area,11,25,151,87
68,08-12-15,Odisha,Talcher,"T.T.P.S.Colony, Talcher",Odisha State Pollution Control Board,Industrial Area,11,27,137,79
68,11-12-15,Odisha,Talcher,"T.T.P.S.Colony, Talcher",Odisha State Pollution Control Board,Industrial Area,9,25,167,83
68,15-12-15,Odisha,Talcher,"T.T.P.S.Colony, Talcher",Odisha State Pollution Control Board,Industrial Area,10,24,198,98
68,18-12-15,Odisha,Talcher,"T.T.P.S.Colony, Talcher",Odisha State Pollution Control Board,Industrial Area,12,23,177,92
68,22-12-15,Odisha,Talcher,"T.T.P.S.Colony, Talcher",Odisha State Pollution Control Board,Industrial Area,11,26,202,104
68,25-12-15,Odisha,Talcher,"T.T.P.S.Colony, Talcher",Odisha State Pollution Control Board,Industrial Area,12,25,171,95
68,29-12-15,Odisha,Talcher,"T.T.P.S.Colony, Talcher",Odisha State Pollution Control Board,Industrial Area,11,27,171,88
70,01-01-15,Odisha,Angul,"Industrial Estate, Angul",Odisha State Pollution Control Board,Industrial Area,7,20,52,36
70,05-01-15,Odisha,Angul,"Industrial Estate, Angul",Odisha State Pollution Control Board,Industrial Area,11,23,124,57
70,08-01-15,Odisha,Angul,"Industrial Estate, Angul",Odisha State Pollution Control Board,Industrial Area,14,27,150,104
70,12-01-15,Odisha,Angul,"Industrial Estate, Angul",Odisha State Pollution Control Board,Industrial Area,15,30,187,121
70,15-01-15,Odisha,Angul,"Industrial Estate, Angul",Odisha State Pollution Control Board,Industrial Area,18,23,176,137
70,19-01-15,Odisha,Angul,"Industrial Estate, Angul",Odisha State Pollution Control Board,Industrial Area,12,30,132,98
70,22-01-15,Odisha,Angul,"Industrial Estate, Angul",Odisha State Pollution Control Board,Industrial Area,9,26,155,86
70,27-01-15,Odisha,Angul,"Industrial Estate, Angul",Odisha State Pollution Control Board,Industrial Area,10,25,162,116
70,29-01-15,Odisha,Angul,"Industrial Estate, Angul",Odisha State Pollution Control Board,Industrial Area,8,22,104,90
70,02-02-15,Odisha,Angul,"Industrial Estate, Angul",Odisha State Pollution Control Board,Industrial Area,9,25,132,86
70,05-02-15,Odisha,Angul,"Industrial Estate, Angul",Odisha State Pollution Control Board,Industrial Area,10,28,148,113
70,09-02-15,Odisha,Angul,"Industrial Estate, Angul",Odisha State Pollution Control Board,Industrial Area,10,22,103,74
70,12-02-15,Odisha,Angul,"Industrial Estate, Angul",Odisha State Pollution Control Board,Industrial Area,10,25,106,85
70,16-02-15,Odisha,Angul,"Industrial Estate, Angul",Odisha State Pollution Control Board,Industrial Area,11,27,89,64
70,19-02-15,Odisha,Angul,"Industrial Estate, Angul",Odisha State Pollution Control Board,Industrial Area,11,26,107,72
70,23-02-15,Odisha,Angul,"Industrial Estate, Angul",Odisha State Pollution Control Board,Industrial Area,10,24,101,77
70,26-02-15,Odisha,Angul,"Industrial Estate, Angul",Odisha State Pollution Control Board,Industrial Area,13,27,87,70
70,02-03-15,Odisha,Angul,"Industrial Estate, Angul",Odisha State Pollution Control Board,Industrial Area,11,26,124,65
70,05-03-15,Odisha,Angul,"Industrial Estate, Angul",Odisha State Pollution Control Board,Industrial Area,12,22,92,68
70,09-03-15,Odisha,Angul,"Industrial Estate, Angul",Odisha State Pollution Control Board,Industrial Area,13,26,93,62
70,12-03-15,Odisha,Angul,"Industrial Estate, Angul",Odisha State Pollution Control Board,Industrial Area,12,28,126,78
70,16-03-15,Odisha,Angul,"Industrial Estate, Angul",Odisha State Pollution Control Board,Industrial Area,14,30,101,68
70,19-03-15,Odisha,Angul,"Industrial Estate, Angul",Odisha State Pollution Control Board,Industrial Area,12,26,150,87
70,23-03-15,Odisha,Angul,"Industrial Estate, Angul",Odisha State Pollution Control Board,Industrial Area,11,24,127,96
70,26-03-15,Odisha,Angul,"Industrial Estate, Angul",Odisha State Pollution Control Board,Industrial Area,13,27,127,81
70,30-03-15,Odisha,Angul,"Industrial Estate, Angul",Odisha State Pollution Control Board,Industrial Area,12,23,135,63
70,02-04-15,Odisha,Angul,"Industrial Estate, Angul",Odisha State Pollution Control Board,Industrial Area,14,28,155,80
70,06-04-15,Odisha,Angul,"Industrial Estate, Angul",Odisha State Pollution Control Board,Industrial Area,12,26,76,54
70,09-04-15,Odisha,Angul,"Industrial Estate, Angul",Odisha State Pollution Control Board,Industrial Area,12,28,71,45
70,13-04-15,Odisha,Angul,"Industrial Estate, Angul",Odisha State Pollution Control Board,Industrial Area,12,23,97,56
70,16-04-15,Odisha,Angul,"Industrial Estate, Angul",Odisha State Pollution Control Board,Industrial Area,11,24,91,53
70,20-04-15,Odisha,Angul,"Industrial Estate, Angul",Odisha State Pollution Control Board,Industrial Area,10,24,89,46
70,23-04-15,Odisha,Angul,"Industrial Estate, Angul",Odisha State Pollution Control Board,Industrial Area,9,21,91,43
70,27-04-15,Odisha,Angul,"Industrial Estate, Angul",Odisha State Pollution Control Board,Industrial Area,13,28,77,40
70,30-04-15,Odisha,Angul,"Industrial Estate, Angul",Odisha State Pollution Control Board,Industrial Area,13,26,91,48
70,04-05-15,Odisha,Angul,"Industrial Estate, Angul",Odisha State Pollution Control Board,Industrial Area,9,23,95,49
70,07-05-15,Odisha,Angul,"Industrial Estate, Angul",Odisha State Pollution Control Board,Industrial Area,12,25,81,36
70,11-05-15,Odisha,Angul,"Industrial Estate, Angul",Odisha State Pollution Control Board,Industrial Area,14,28,102,54
70,14-05-15,Odisha,Angul,"Industrial Estate, Angul",Odisha State Pollution Control Board,Industrial Area,11,26,98,51
70,18-05-15,Odisha,Angul,"Industrial Estate, Angul",Odisha State Pollution Control Board,Industrial Area,11,26,97,42
70,21-05-15,Odisha,Angul,"Industrial Estate, Angul",Odisha State Pollution Control Board,Industrial Area,14,28,91,51
70,25-05-15,Odisha,Angul,"Industrial Estate, Angul",Odisha State Pollution Control Board,Industrial Area,13,27,107,67
70,28-05-15,Odisha,Angul,"Industrial Estate, Angul",Odisha State Pollution Control Board,Industrial Area,11,23,98,55
70,01-06-15,Odisha,Angul,"Industrial Estate, Angul",Odisha State Pollution Control Board,Industrial Area,12,27,104,63
70,04-06-15,Odisha,Angul,"Industrial Estate, Angul",Odisha State Pollution Control Board,Industrial Area,10,26,95,44
70,08-06-15,Odisha,Angul,"Industrial Estate, Angul",Odisha State Pollution Control Board,Industrial Area,10,25,101,62
70,11-06-15,Odisha,Angul,"Industrial Estate, Angul",Odisha State Pollution Control Board,Industrial Area,13,25,99,58
70,15-06-15,Odisha,Angul,"Industrial Estate, Angul",Odisha State Pollution Control Board,Industrial Area,9,21,61,36
70,18-06-15,Odisha,Angul,"Industrial Estate, Angul",Odisha State Pollution Control Board,Industrial Area,8,19,55,31
70,22-06-15,Odisha,Angul,"Industrial Estate, Angul",Odisha State Pollution Control Board,Industrial Area,9,22,60,34
70,25-06-15,Odisha,Angul,"Industrial Estate, Angul",Odisha State Pollution Control Board,Industrial Area,12,26,90,46
70,29-06-15,Odisha,Angul,"Industrial Estate, Angul",Odisha State Pollution Control Board,Industrial Area,13,27,97,56
70,02-07-15,Odisha,Angul,"Industrial Estate, Angul",Odisha State Pollution Control Board,Industrial Area,11,26,102,51
70,06-07-15,Odisha,Angul,"Industrial Estate, Angul",Odisha State Pollution Control Board,Industrial Area,10,25,110,66
70,09-07-15,Odisha,Angul,"Industrial Estate, Angul",Odisha State Pollution Control Board,Industrial Area,8,20,55,33
70,13-07-15,Odisha,Angul,"Industrial Estate, Angul",Odisha State Pollution Control Board,Industrial Area,10,24,90,60
70,16-07-15,Odisha,Angul,"Industrial Estate, Angul",Odisha State Pollution Control Board,Industrial Area,10,21,87,57
70,20-07-15,Odisha,Angul,"Industrial Estate, Angul",Odisha State Pollution Control Board,Industrial Area,12,26,106,65
70,23-07-15,Odisha,Angul,"Industrial Estate, Angul",Odisha State Pollution Control Board,Industrial Area,9,20,59,28
70,27-07-15,Odisha,Angul,"Industrial Estate, Angul",Odisha State Pollution Control Board,Industrial Area,12,26,104,74
70,30-07-15,Odisha,Angul,"Industrial Estate, Angul",Odisha State Pollution Control Board,Industrial Area,12,25,84,49
70,03-08-15,Odisha,Angul,"Industrial Estate, Angul",Odisha State Pollution Control Board,Industrial Area,8,22,73,34
70,06-08-15,Odisha,Angul,"Industrial Estate, Angul",Odisha State Pollution Control Board,Industrial Area,9,23,72,39
70,10-08-15,Odisha,Angul,"Industrial Estate, Angul",Odisha State Pollution Control Board,Industrial Area,10,23,69,45
70,13-08-15,Odisha,Angul,"Industrial Estate, Angul",Odisha State Pollution Control Board,Industrial Area,11,24,62,38
70,17-08-15,Odisha,Angul,"Industrial Estate, Angul",Odisha State Pollution Control Board,Industrial Area,12,27,72,48
70,20-08-15,Odisha,Angul,"Industrial Estate, Angul",Odisha State Pollution Control Board,Industrial Area,13,28,115,82
70,24-08-15,Odisha,Angul,"Industrial Estate, Angul",Odisha State Pollution Control Board,Industrial Area,12,26,111,77
70,27-08-15,Odisha,Angul,"Industrial Estate, Angul",Odisha State Pollution Control Board,Industrial Area,9,20,53,28
70,31-08-15,Odisha,Angul,"Industrial Estate, Angul",Odisha State Pollution Control Board,Industrial Area,12,25,82,51
70,03-09-15,Odisha,Angul,"Industrial Estate, Angul",Odisha State Pollution Control Board,Industrial Area,11,26,118,78
70,07-09-15,Odisha,Angul,"Industrial Estate, Angul",Odisha State Pollution Control Board,Industrial Area,12,24,97,57
70,10-09-15,Odisha,Angul,"Industrial Estate, Angul",Odisha State Pollution Control Board,Industrial Area,13,26,119,74
70,14-09-15,Odisha,Angul,"Industrial Estate, Angul",Odisha State Pollution Control Board,Industrial Area,11,22,64,37
70,17-09-15,Odisha,Angul,"Industrial Estate, Angul",Odisha State Pollution Control Board,Industrial Area,11,22,80,46
70,21-09-15,Odisha,Angul,"Industrial Estate, Angul",Odisha State Pollution Control Board,Industrial Area,11,25,92,55
70,24-09-15,Odisha,Angul,"Industrial Estate, Angul",Odisha State Pollution Control Board,Industrial Area,9,24,95,52
70,28-09-15,Odisha,Angul,"Industrial Estate, Angul",Odisha State Pollution Control Board,Industrial Area,12,23,102,58
70,01-10-15,Odisha,Angul,"Industrial Estate, Angul",Odisha State Pollution Control Board,Industrial Area,10,23,90,51
70,05-10-15,Odisha,Angul,"Industrial Estate, Angul",Odisha State Pollution Control Board,Industrial Area,11,24,112,69
70,08-10-15,Odisha,Angul,"Industrial Estate, Angul",Odisha State Pollution Control Board,Industrial Area,10,22,83,50
70,12-10-15,Odisha,Angul,"Industrial Estate, Angul",Odisha State Pollution Control Board,Industrial Area,11,25,99,62
70,15-10-15,Odisha,Angul,"Industrial Estate, Angul",Odisha State Pollution Control Board,Industrial Area,10,24,85,41
70,19-10-15,Odisha,Angul,"Industrial Estate, Angul",Odisha State Pollution Control Board,Industrial Area,9,22,95,54
70,22-10-15,Odisha,Angul,"Industrial Estate, Angul",Odisha State Pollution Control Board,Industrial Area,8,22,102,51
70,26-10-15,Odisha,Angul,"Industrial Estate, Angul",Odisha State Pollution Control Board,Industrial Area,11,27,131,66
70,29-10-15,Odisha,Angul,"Industrial Estate, Angul",Odisha State Pollution Control Board,Industrial Area,10,24,90,48
70,02-11-15,Odisha,Angul,"Industrial Estate, Angul",Odisha State Pollution Control Board,Industrial Area,8,22,76,34
70,05-11-15,Odisha,Angul,"Industrial Estate, Angul",Odisha State Pollution Control Board,Industrial Area,10,25,93,58
70,09-11-15,Odisha,Angul,"Industrial Estate, Angul",Odisha State Pollution Control Board,Industrial Area,8,23,104,61
70,12-11-15,Odisha,Angul,"Industrial Estate, Angul",Odisha State Pollution Control Board,Industrial Area,10,25,112,55
70,16-11-15,Odisha,Angul,"Industrial Estate, Angul",Odisha State Pollution Control Board,Industrial Area,9,24,110,64
70,19-11-15,Odisha,Angul,"Industrial Estate, Angul",Odisha State Pollution Control Board,Industrial Area,11,26,123,71
70,23-11-15,Odisha,Angul,"Industrial Estate, Angul",Odisha State Pollution Control Board,Industrial Area,10,27,115,56
70,26-11-15,Odisha,Angul,"Industrial Estate, Angul",Odisha State Pollution Control Board,Industrial Area,11,28,98,42
70,30-11-15,Odisha,Angul,"Industrial Estate, Angul",Odisha State Pollution Control Board,Industrial Area,12,25,119,47
70,03-12-15,Odisha,Angul,"Industrial Estate, Angul",Odisha State Pollution Control Board,Industrial Area,8,24,100,51
70,07-12-15,Odisha,Angul,"Industrial Estate, Angul",Odisha State Pollution Control Board,Industrial Area,8,23,84,42
70,10-12-15,Odisha,Angul,"Industrial Estate, Angul",Odisha State Pollution Control Board,Industrial Area,11,27,112,79
70,14-12-15,Odisha,Angul,"Industrial Estate, Angul",Odisha State Pollution Control Board,Industrial Area,10,27,110,62
70,17-12-15,Odisha,Angul,"Industrial Estate, Angul",Odisha State Pollution Control Board,Industrial Area,9,23,102,54
70,21-12-15,Odisha,Angul,"Industrial Estate, Angul",Odisha State Pollution Control Board,Industrial Area,9,26,113,59
70,24-12-15,Odisha,Angul,"Industrial Estate, Angul",Odisha State Pollution Control Board,Industrial Area,10,27,86,41
70,28-12-15,Odisha,Angul,"Industrial Estate, Angul",Odisha State Pollution Control Board,Industrial Area,10,24,108,56
70,31-12-15,Odisha,Angul,"Industrial Estate, Angul",Odisha State Pollution Control Board,Industrial Area,13,29,133,63
227,01-01-15,Odisha,Rourkela,"IDL Police Out-post, Sonaparbat, Rourkela",Odisha State Pollution Control Board,"Residential, Rural and other Areas",5,10,71,75
227,05-01-15,Odisha,Rourkela,"IDL Police Out-post, Sonaparbat, Rourkela",Odisha State Pollution Control Board,"Residential, Rural and other Areas",6,9,75,67
227,08-01-15,Odisha,Rourkela,"IDL Police Out-post, Sonaparbat, Rourkela",Odisha State Pollution Control Board,"Residential, Rural and other Areas",6,10,72,74
227,12-01-15,Odisha,Rourkela,"IDL Police Out-post, Sonaparbat, Rourkela",Odisha State Pollution Control Board,"Residential, Rural and other Areas",5,11,70,80
227,15-01-15,Odisha,Rourkela,"IDL Police Out-post, Sonaparbat, Rourkela",Odisha State Pollution Control Board,"Residential, Rural and other Areas",6,10,81,68
227,19-01-15,Odisha,Rourkela,"IDL Police Out-post, Sonaparbat, Rourkela",Odisha State Pollution Control Board,"Residential, Rural and other Areas",6,11,70,53
227,22-01-15,Odisha,Rourkela,"IDL Police Out-post, Sonaparbat, Rourkela",Odisha State Pollution Control Board,"Residential, Rural and other Areas",6,11,73,59
227,27-01-15,Odisha,Rourkela,"IDL Police Out-post, Sonaparbat, Rourkela",Odisha State Pollution Control Board,"Residential, Rural and other Areas",6,11,74,78
227,29-01-15,Odisha,Rourkela,"IDL Police Out-post, Sonaparbat, Rourkela",Odisha State Pollution Control Board,"Residential, Rural and other Areas",6,11,75,75
227,02-02-15,Odisha,Rourkela,"IDL Police Out-post, Sonaparbat, Rourkela",Odisha State Pollution Control Board,"Residential, Rural and other Areas",6,11,66,71
227,05-02-15,Odisha,Rourkela,"IDL Police Out-post, Sonaparbat, Rourkela",Odisha State Pollution Control Board,"Residential, Rural and other Areas",6,11,63,69
227,09-02-15,Odisha,Rourkela,"IDL Police Out-post, Sonaparbat, Rourkela",Odisha State Pollution Control Board,"Residential, Rural and other Areas",6,20,72,65
227,12-02-15,Odisha,Rourkela,"IDL Police Out-post, Sonaparbat, Rourkela",Odisha State Pollution Control Board,"Residential, Rural and other Areas",6,11,75,78
227,16-02-15,Odisha,Rourkela,"IDL Police Out-post, Sonaparbat, Rourkela",Odisha State Pollution Control Board,"Residential, Rural and other Areas",6,10,77,82
227,19-02-15,Odisha,Rourkela,"IDL Police Out-post, Sonaparbat, Rourkela",Odisha State Pollution Control Board,"Residential, Rural and other Areas",5,11,79,68
227,23-02-15,Odisha,Rourkela,"IDL Police Out-post, Sonaparbat, Rourkela",Odisha State Pollution Control Board,"Residential, Rural and other Areas",6,10,75,70
227,26-02-15,Odisha,Rourkela,"IDL Police Out-post, Sonaparbat, Rourkela",Odisha State Pollution Control Board,"Residential, Rural and other Areas",6,11,80,75
227,02-03-15,Odisha,Rourkela,"IDL Police Out-post, Sonaparbat, Rourkela",Odisha State Pollution Control Board,"Residential, Rural and other Areas",5,11,64,55
227,06-03-15,Odisha,Rourkela,"IDL Police Out-post, Sonaparbat, Rourkela",Odisha State Pollution Control Board,"Residential, Rural and other Areas",5,10,65,63
227,09-03-15,Odisha,Rourkela,"IDL Police Out-post, Sonaparbat, Rourkela",Odisha State Pollution Control Board,"Residential, Rural and other Areas",6,10,66,68
227,12-03-15,Odisha,Rourkela,"IDL Police Out-post, Sonaparbat, Rourkela",Odisha State Pollution Control Board,"Residential, Rural and other Areas",6,11,72,70
227,16-03-15,Odisha,Rourkela,"IDL Police Out-post, Sonaparbat, Rourkela",Odisha State Pollution Control Board,"Residential, Rural and other Areas",6,11,66,65
227,19-03-15,Odisha,Rourkela,"IDL Police Out-post, Sonaparbat, Rourkela",Odisha State Pollution Control Board,"Residential, Rural and other Areas",6,11,63,69
227,23-03-15,Odisha,Rourkela,"IDL Police Out-post, Sonaparbat, Rourkela",Odisha State Pollution Control Board,"Residential, Rural and other Areas",6,11,74,72
227,26-03-15,Odisha,Rourkela,"IDL Police Out-post, Sonaparbat, Rourkela",Odisha State Pollution Control Board,"Residential, Rural and other Areas",6,11,77,78
227,30-03-15,Odisha,Rourkela,"IDL Police Out-post, Sonaparbat, Rourkela",Odisha State Pollution Control Board,"Residential, Rural and other Areas",6,11,80,80
227,02-04-15,Odisha,Rourkela,"IDL Police Out-post, Sonaparbat, Rourkela",Odisha State Pollution Control Board,"Residential, Rural and other Areas",5,10,68,65
227,06-04-15,Odisha,Rourkela,"IDL Police Out-post, Sonaparbat, Rourkela",Odisha State Pollution Control Board,"Residential, Rural and other Areas",5,10,78,69
227,09-04-15,Odisha,Rourkela,"IDL Police Out-post, Sonaparbat, Rourkela",Odisha State Pollution Control Board,"Residential, Rural and other Areas",5,10,82,63
227,13-04-15,Odisha,Rourkela,"IDL Police Out-post, Sonaparbat, Rourkela",Odisha State Pollution Control Board,"Residential, Rural and other Areas",16,10,68,71
227,16-04-15,Odisha,Rourkela,"IDL Police Out-post, Sonaparbat, Rourkela",Odisha State Pollution Control Board,"Residential, Rural and other Areas",6,11,71,68
227,20-04-15,Odisha,Rourkela,"IDL Police Out-post, Sonaparbat, Rourkela",Odisha State Pollution Control Board,"Residential, Rural and other Areas",6,11,72,75
227,23-04-15,Odisha,Rourkela,"IDL Police Out-post, Sonaparbat, Rourkela",Odisha State Pollution Control Board,"Residential, Rural and other Areas",6,11,75,52
227,27-04-15,Odisha,Rourkela,"IDL Police Out-post, Sonaparbat, Rourkela",Odisha State Pollution Control Board,"Residential, Rural and other Areas",6,11,81,80
227,30-04-15,Odisha,Rourkela,"IDL Police Out-post, Sonaparbat, Rourkela",Odisha State Pollution Control Board,"Residential, Rural and other Areas",6,11,81,83
227,04-05-15,Odisha,Rourkela,"IDL Police Out-post, Sonaparbat, Rourkela",Odisha State Pollution Control Board,"Residential, Rural and other Areas",5,10,76,45
227,07-05-15,Odisha,Rourkela,"IDL Police Out-post, Sonaparbat, Rourkela",Odisha State Pollution Control Board,"Residential, Rural and other Areas",5,10,78,47
227,11-05-15,Odisha,Rourkela,"IDL Police Out-post, Sonaparbat, Rourkela",Odisha State Pollution Control Board,"Residential, Rural and other Areas",6,11,72,42
227,14-05-15,Odisha,Rourkela,"IDL Police Out-post, Sonaparbat, Rourkela",Odisha State Pollution Control Board,"Residential, Rural and other Areas",5,10,81,48
227,18-05-15,Odisha,Rourkela,"IDL Police Out-post, Sonaparbat, Rourkela",Odisha State Pollution Control Board,"Residential, Rural and other Areas",6,11,72,41
227,21-05-15,Odisha,Rourkela,"IDL Police Out-post, Sonaparbat, Rourkela",Odisha State Pollution Control Board,"Residential, Rural and other Areas",6,9,71,40
227,25-05-15,Odisha,Rourkela,"IDL Police Out-post, Sonaparbat, Rourkela",Odisha State Pollution Control Board,"Residential, Rural and other Areas",15,11,74,43
227,28-05-15,Odisha,Rourkela,"IDL Police Out-post, Sonaparbat, Rourkela",Odisha State Pollution Control Board,"Residential, Rural and other Areas",6,11,79,47
227,01-06-15,Odisha,Rourkela,"IDL Police Out-post, Sonaparbat, Rourkela",Odisha State Pollution Control Board,"Residential, Rural and other Areas",5,10,61,37
227,04-06-15,Odisha,Rourkela,"IDL Police Out-post, Sonaparbat, Rourkela",Odisha State Pollution Control Board,"Residential, Rural and other Areas",5,10,64,39
227,08-06-15,Odisha,Rourkela,"IDL Police Out-post, Sonaparbat, Rourkela",Odisha State Pollution Control Board,"Residential, Rural and other Areas",5,10,60,36
227,11-06-15,Odisha,Rourkela,"IDL Police Out-post, Sonaparbat, Rourkela",Odisha State Pollution Control Board,"Residential, Rural and other Areas",6,10,69,40
227,15-06-15,Odisha,Rourkela,"IDL Police Out-post, Sonaparbat, Rourkela",Odisha State Pollution Control Board,"Residential, Rural and other Areas",6,10,65,38
227,18-06-15,Odisha,Rourkela,"IDL Police Out-post, Sonaparbat, Rourkela",Odisha State Pollution Control Board,"Residential, Rural and other Areas",5,10,65,39
227,22-06-15,Odisha,Rourkela,"IDL Police Out-post, Sonaparbat, Rourkela",Odisha State Pollution Control Board,"Residential, Rural and other Areas",5,10,68,40
227,26-06-15,Odisha,Rourkela,"IDL Police Out-post, Sonaparbat, Rourkela",Odisha State Pollution Control Board,"Residential, Rural and other Areas",5,10,66,38
227,29-06-15,Odisha,Rourkela,"IDL Police Out-post, Sonaparbat, Rourkela",Odisha State Pollution Control Board,"Residential, Rural and other Areas",5,10,61,36
227,02-07-15,Odisha,Rourkela,"IDL Police Out-post, Sonaparbat, Rourkela",Odisha State Pollution Control Board,"Residential, Rural and other Areas",5,10,69,41
